documento,status,chars,pages,chars_per_page,word_density,letter_fraction,reason
595882_Farmiflox,sem_estrutura,17653,,,,,nenhuma secção normativa detetada; títulos sem numeração e sem distinção tipográfica
601162_Amlodipina_AurovitasMG,sem_estrutura,36696,,,,,nenhuma secção normativa detetada; títulos sem numeração e sem distinção tipográfica
604038_Tramadol_AurovitasMG,sem_estrutura,35180,,,,,nenhuma secção normativa detetada; títulos sem numeração e sem distinção tipográfica
609172_Entecavir_GenerisMG,sem_estrutura,78680,,,,,nenhuma secção normativa detetada; títulos sem numeração e sem distinção tipográfica
614962_Ellyfol,sem_estrutura,11029,,,,,nenhuma secção normativa detetada; títulos sem numeração e sem distinção tipográfica
6296_Nozinan_25,sem_estrutura,13777,,,,,nenhuma secção normativa detetada; títulos sem numeração e sem distinção tipográfica
636382_Abacavir_GenerisMG,sem_estrutura,59739,,,,,nenhuma secção normativa detetada; títulos sem numeração e sem distinção tipográfica
638363_Efavirenz_Emtricitabina_Tenofovir_GenerisMG,sem_estrutura,168304,,,,,nenhuma secção normativa detetada; títulos sem numeração e sem distinção tipográfica
638383_Bortezomib_Venus_PharmaMG,sem_estrutura,143666,,,,,nenhuma secção normativa detetada; títulos sem numeração e sem distinção tipográfica
666864_Rosuvastatina_Ezetimiba_Alter,sem_estrutura,76174,,,,,nenhuma secção normativa detetada; títulos sem numeração e sem distinção tipográfica
694264_AurelieMG,sem_estrutura,60819,,,,,nenhuma secção normativa detetada; títulos sem numeração e sem distinção tipográfica
